.cn	Q2
数字计算机	Q7540
数学公式	Q7541
数学分析（数学基础分支）	Q7542
数学名词	Q7543
数学基础	Q7544
数学奖	Q7545
数学家（数学家（世界著名数学家））	Q7546
数学家（游戏王的卡片）	Q7547
数学归纳法	Q7549
数学心理学	Q7550
数学概念	Q7551
数学模型（数学学科）	Q7552
数学游戏（natsume出品游戏）	Q7553
数学科学	Q7554
数学符号	Q7555
数学语言	Q7556
数学运算	Q7557
数学（学科）	Q7558
数据压缩	Q7561
数据存储	Q7562
数据对象	Q7563
数据库	Q7564
数据库服务器	Q7565
数据库管理系统	Q7566
数据库系统	Q7567
数据模型	Q7570
数据结构（计算机存储、组织数据方式）	Q7571
数据链路	Q7573
数据（计算机术语）	Q7575
数理逻辑（用数学方法研究逻辑或形式逻辑的学科）	Q7577
数码摄像机	Q7578
数码摄影	Q7579
数论派	Q7582
数论（数学分支）	Q7583
数量地理学	Q7584
整体论	Q7586
整数	Q7588
整数（数学名词）	Q7589
整系数多项式	Q7590
整除	Q7591
文人音乐	Q7592
文件系统	Q7593
文化产业（产业门类）	Q7594
文化人类学（林惠祥创作人类学作品）	Q7595
文化地理学	Q7600
文化大革命	Q7601
文化接触	Q7604
文化旅游	Q7605
文化（广泛的知识并将之活学活用与根植内心的修养）	Q7607
文字	Q7610
文学创作	Q7612
文学批评	Q7613
文学（一种语言艺术形式）	Q7616
文成公主（唐朝和亲公主，松赞干布王后）	Q7617
文昌鱼	Q7618
文景之治（西汉初年的治世）	Q7620
文案	Q7623
文档	Q7624
文章（印尼歌手）	Q7627
文艺复兴（14到17世纪的欧洲思想文化运动）	Q7629
文莱	Q7631
斋醮	Q7633
斐波那契	Q7634
斐迪南·滕尼斯	Q7635
斗栱	Q7637
斟灌氏	Q7639
断代史	Q7642
断块山	Q7643
斯万特·奥古斯特·阿累尼乌斯	Q7646
斯图亚特	Q7647
斯坎德培	Q7648
斯坦福大学	Q7649
斯堪的纳维亚半岛	Q7650
斯多葛主义	Q7651
斯多葛学派	Q7652
斯大林格勒（俄罗斯2013年费多尔·邦达尔丘克导演电影）	Q7654
斯巴达300勇士（美国2007年扎克·施奈德执导电影）	Q7655
斯德哥尔摩大学	Q7657
斯托曼	Q7658
斯拉夫人	Q7659
斯拉夫语族	Q7660
斯汀	Q7661
斯洛伐克	Q7662
斯洛文尼亚	Q7663
斯温伯恩	Q7664
斯特拉波	Q7665
斯瓦希里人	Q7667
斯科特·辛克莱尔	Q7668
斯莫尔	Q7669
斯蒂芬·威廉·霍金	Q7670
斯蒂芬·沃尔夫勒姆	Q7671
斯诺克（英式台球）	Q7672
斯里兰卡	Q7673
斯里贾亚瓦德纳普拉科特	Q7675
新产品	Q7678
新修本草	Q7680
新兴凯恩斯学派	Q7681
新几内亚岛	Q7684
新加坡	Q7685
新加坡元	Q7686
新加坡港	Q7689
新北（台湾第一大城市）	Q7690
新华通讯社	Q7692
新古典主义经济学	Q7694
新古典主义（新古典主义文化）	Q7695
新古典经济学	Q7696
新古典综合派	Q7697
新台币	Q7698
新唐书	Q7699
新四军（国民革命军陆军新编第四军）	Q7701
新场镇（上海市浦东新区新场镇）	Q7703
新型农村合作医疗	Q7704
新建区	Q7712
新托马斯主义	Q7714
新教	Q7716
新教伦理与资本主义精神	Q7717
新文化运动	Q7718
新旧党争	Q7720
新朝	Q7722
新民主主义革命	Q7725
新民晚报（中共上海市委直接领导的综合性报纸）	Q7727
新生活运动	Q7732
新界（香港三大地理分区之一）	Q7733
新疆和平解放（新疆解放战争）	Q7734
新疆生产建设兵团	Q7735
新疆（中国自治区）	Q7736
新石器时代（考古学家假定的时间区段概念）	Q7740
新石器革命	Q7741
新社会阶层	Q7742
新经济政策（苏联经济政策）	Q7744
新罗	Q7745
新能源（能源资源学术语）	Q7746
新西兰	Q7749
新郑	Q7750
新闻	Q7752
新闻学	Q7756
新闻组	Q7760
新闻联播（中央电视台新闻节目）	Q7761
新青年（陈独秀创办月刊）	Q7767
新黑格尔主义	Q7768
方与圆	Q7769
方仙道	Q7770
方剂	Q7771
方剂学（中医学科目）	Q7772
方向（国家标准委副主任）	Q7773
方向（浙江淳安县诗人）	Q7774
方国珍	Q7775
方士	Q7778
方安娜	Q7779
方差分析	Q7780
方法论（哲学术语）	Q7781
方法（哲学的方法论）	Q7782
方润华（企业家）	Q7783
方舟子	Q7785
於则	Q7787
施乐	Q7788
施今墨	Q7789
施存统	Q7790
施政（小童星）	Q7792
施琅	Q7793
施莱登	Q7795
旅游产业	Q7797
旋律（音乐术语）	Q7809
旗忠森林体育城网球中心	Q7812
旗鱼（鲈形目鱼类）	Q7816
无产阶级专政	Q7817
无伴奏合唱	Q7820
无关变量	Q7822
无名（漫画《风云》中的武林神话）	Q7823
无国界	Q7824
无声电影（默片电影）	Q7825
无期徒刑	Q7828
无机化合物	Q7829
无条件投降	Q7830
无法可得	Q7831
无理式	Q7832
无理数	Q7833
无神论者	Q7834
无线局域网	Q7835
无线接入点	Q7836
无线热点	Q7837
无线电探空仪	Q7838
日元	Q7845
日内瓦会议	Q7846
日冕	Q7847
日常工作	Q7849
日心说	Q7851
日志（计算机术语）	Q7853
日月星辰（宇宙的天体）	Q7855
日月潭（台湾省第一大天然湖泊）	Q7856
日本人（有日本国籍的人或有和族血统的人）	Q7857
日本军国主义	Q7860
日本外务省	Q7865
日本放送协会	Q7869
日本海军	Q7873
日本漫画	Q7874
日本（日本国）	Q7878
日照（山东省省辖市）	Q7880
日语	Q7882
日食	Q7885
旧唐书	Q7886
旧石器时期	Q7888
旧金山湾区	Q7890
旧金山（美国加利福尼亚州城市之一）	Q7891
早期宇宙	Q7892
时の流れに身をまかせ	Q7898
时代周刊	Q7901
时效性	Q7906
时空（集合名词）	Q7908
时越	Q7910
时间单位	Q7911
时间性	Q7912
时间顺序	Q7914
时间（事件过程长短和发生顺序的度量）	Q7915
昆仑山脉	Q7916
昆剧	Q7917
昆明	Q7919
昆曲（中国传统戏剧）	Q7920
昆虫（节肢动物门昆虫纲动物）	Q7921
昊天上帝	Q7923
昌化江	Q7924
明乡人	Q7928
明孝陵（全国重点文物保护单位，国家5a级旅游景区）	Q7930
明斯特	Q7932
明朝内阁制度	Q7934
明朝（中国历史朝代）	Q7937
明治维新（19世纪60-90年代日本的改革运动）	Q7938
明章之治	Q7939
明郑时期（台湾郑氏政权）	Q7940
明长城	Q7941
易水学派	Q7945
易经	Q7948
星云奖	Q7951
星座命盘	Q7952
星系	Q7953
星系动力学	Q7954
星系核	Q7955
星系群	Q7956
星系自转	Q7957
星表	Q7959
星际介质	Q7960
星际尘埃	Q7961
星际气体	Q7962
星风	Q7963
春夏	Q7964
春秋左氏传	Q7968
春秋航空股份有限公司	Q7969
春秋（东周前半期历史阶段）	Q7970
春秋（春秋经）	Q7971
春节（中国传统节日）	Q7972
春运（中国特有的文化现象）	Q7973
昭君出塞（历史故事）	Q7974
昭宣中兴（西汉中期的一段历史时期）	Q7975
昭陵（唐太宗昭陵）	Q7977
显学	Q7978
显微外科	Q7979
显生宙	Q7980
显著性	Q7982
显著性差异	Q7983
晁错（西汉名士）	Q7984
晋剧	Q7986
晋文侯	Q7988
晋文公	Q7989
晋朝（中国历史朝代）	Q7990
晋江（福建省泉州市下辖县级市）	Q7991
晋绥军	Q7994
晏敏敏	Q7997
普劳图斯	Q8000
普林斯顿大学	Q8005
普渡大学	Q8007
普罗泰戈拉	Q8008
普通化学	Q8010
普通法律	Q8011
普通话（中华人民共和国通用的现代标准汉语）	Q8012
普通高中	Q8013
普通高等学校	Q8014
普通高等学校招生全国统一考试	Q8015
普通高等学校招生全国统一考试招生录取批次	Q8016
普通高等教育	Q8017
普遍性	Q8019
普陀区（上海市辖区）	Q8021
普鲁塔克	Q8022
景山（北京景山公园）	Q8023
景教	Q8025
景气循环	Q8026
景甜	Q8027
智利	Q8028
智利总统	Q8029
智力	Q8030
智囊团	Q8031
智慧宫	Q8032
智能手机	Q8036
智能手表（电子科技产品）	Q8038
智能电视	Q8040
暗恋桃花源（1986年丁乃筝主演话剧）	Q8044
暗星云	Q8045
暗星（全新空天武器）	Q8046
暗杀（2015年崔东勋执导韩国电影）	Q8047
暗物质晕	Q8049
暗物质粒子探测卫星	Q8050
暗物质（物理名词）	Q8052
暗示心理学	Q8053
暗能量	Q8054
暨南大学	Q8055
暴风战斗机	Q8058
暴风雪号航天飞机	Q8059
暴饮暴食	Q8060
暹罗	Q8061
曲裾	Q8064
曳撒	Q8068
更始（汉帝刘玄年号）	Q8069
曹丕篡汉	Q8070
曹丕（三国时期曹魏开国皇帝）	Q8071
曹丕（魏文帝）	Q8072
曹国（周朝诸侯国）	Q8073
曹寅（清代名臣）	Q8077
曹嵩	Q8078
曹操（三国魏政权奠基人）	Q8079
曹植（汉魏之际文学家）	Q8080
曹氏三祖	Q8081
曹禺	Q8083
曹锦辉	Q8086
曹颖甫	Q8087
曹魏（三国时期政权）	Q8088
曼哈顿计划（美国陆军部研制原子弹计划）	Q8089
曼谷（泰国首都）	Q8090
曾国藩（晚清名臣）	Q8092
曾庆红（中华人民共和国原副主席）	Q8093
曾志朗	Q8094
曾母暗沙	Q8096
曾永义	Q8097
曾联松	Q8099
曾荫权	Q8100
替代医学	Q8102
替代品（物品价格的上升引起下一物品需求的增加）	Q8103
最伟大的	Q8104
最低工资（正常劳动下开出的最低金额报酬）	Q8106
最受欢迎	Q8109
最后一次（泰勒·斯威夫特演唱歌曲）	Q8111
最早的中国	Q8112
最爱（2011年章子怡、郭富城的主演电影）	Q8113
最终用户许可协议	Q8115
月令	Q8120
月华裙	Q8121
月球（地球的天然卫星）	Q8123
月见草（柳叶菜科、月见草属草本）	Q8124
月食（天文现象）	Q8125
有仇必报	Q8126
有声电影	Q8128
有效需求	Q8132
有机	Q8133
有机农业（农业学术语）	Q8134
有理数	Q8136
有线电报	Q8138
有虞氏	Q8142
有迹可循（2016年石英杰执导电影）	Q8144
有限与无限	Q8145
有限集合	Q8148
服务器	Q8152
朗德海花园场景	Q8158
望思台	Q8160
望远镜	Q8161
朝代	Q8162
朝圣（宗教活动）	Q8163
朝花夕拾（鲁迅散文集）	Q8164
朝阳区（北京市辖区）	Q8165
朝阳大学	Q8166
朝鲜三国时代	Q8168
朝鲜半岛	Q8172
朝鲜战争（20世纪50年代朝鲜半岛战争）	Q8173
朝鲜族	Q8174
朝鲜（朝鲜民主主义人民共和国）	Q8175
期刊	Q8176
期货交易	Q8178
朦胧诗	Q8181
木乃伊（1999年斯蒂芬·索莫斯执导的电影）	Q8182
木偶戏（国家级非物质文化遗产）	Q8184
木星（太阳系八大行星之一）	Q8186
木材化学	Q8187
木管乐器	Q8189
木耳（真菌）	Q8190
未解之谜（世界十大未解之谜）	Q8193
末日审判书	Q8194
本·伯南克	Q8196
本体论	Q8197
本帮菜	Q8200
本我、自我与超我	Q8201
本星系群	Q8202
本草纲目（中医典籍）	Q8204
本草经集注	Q8205
朱允炆（历史人物）	Q8208
朱元璋（明朝开国皇帝）	Q8209
朱其文（原国务院第一办公室副主任）	Q8210
朱厚照（明武宗）	Q8211
朱厚熜（明朝第十一位皇帝）	Q8212
朱和中	Q8214
朱培德	Q8215
朱塞佩·皮亚诺	Q8216
朱常洵	Q8219
朱彧	Q8221
朱德	Q8222
朱某	Q8224
朱标	Q8225
朱梓骁	Q8226
朱棣（明成祖）	Q8227
朱淇	Q8228
朱温（五代梁朝开国皇帝）	Q8229
朱湘	Q8230
朱熹（南宋理学家）	Q8231
朱由崧	Q8232
朱由校（明朝皇帝）	Q8233
朱由榔	Q8235
朱瞻基	Q8236
朱祁钰（明朝第七位皇帝）	Q8238
朱祁镇（明英宗）	Q8239
朱祐樘	Q8240
朱翊钧	Q8242
朱聿键	Q8243
朱载垕	Q8246
朱镕基	Q8247
朱震亨	Q8248
朱高炽	Q8249
朴门学	Q8251
机关、团体、企业、事业单位消防安全管理规定	Q8252
机制设计理论	Q8253
机动战士高达（富野由悠季执导系列作品）	Q8254
机器人（自动执行工作的机器装置）	Q8255
机器视觉（科技技术）	Q8259
机器语言	Q8260
机械制造（工业生产部门）	Q8262
机械工程（一级学科）	Q8263
机电产品	Q8266
机能主义	Q8267
机顶盒	Q8268
杂交水稻（杂交技术培育的水稻品种）	Q8269
杂志	Q8271
权力分配	Q8273
权力制衡	Q8274
权力意志	Q8275
权力（社会学词汇）	Q8276
李世民（唐太宗）	Q8278
李世石	Q8279
李乐（内地男演员）	Q8280
李亨（唐朝皇帝）	Q8282
李亨（唐肃宗）	Q8283
李儇	Q8285
李先念（无产阶级革命家）	Q8288
李光耀（新加坡国父）	Q8289
李克强（中铝宁夏能源集团有限公司党委委员、书记）	Q8290
李克强（清华大学汽车工程系系主任）	Q8291
李叔同	Q8293
李嘉图等价	Q8294
李士群	Q8296
李大钊	Q8297
李天佑（中国内地男歌手、影视演员、网络主播）	Q8298
李安吉（音乐人）	Q8301
李安（华人导演、编剧）	Q8302
李宗仁（中华民国首任副总统、代总统）	Q8303
李家诚	Q8304
李家（辽宁师范大学城市与环境学院副教授）	Q8305
李密（西晋初年官员）	Q8306
李密（隋唐时期群雄之一）	Q8307
李尧林	Q8308
李希烈	Q8309
李廷机	Q8310
李强（中央政治局委员，上海市委书记）	Q8311
李彩琳	Q8312
李德裕	Q8313
李德（共产国际派驻中国的军事顾问）	Q8314
李忱（唐朝第十六位皇帝）	Q8315
李怀仙	Q8316
李悝	Q8318
李成梁	Q8320
李政道（物理学家）	Q8321
李斯（秦朝丞相）	Q8323
李旦（唐睿宗）	Q8324
李时珍（明朝医药学家）	Q8325
李昌（中共中央纪委原书记，哈工大校长）	Q8326
李显（唐中宗）	Q8327
李晔（唐昭宗）	Q8328
李智恩	Q8329
李杲（金元四大家之一）	Q8330
李林甫	Q8331
李柷	Q8332
李济深	Q8333
李清照（宋代女词人）	Q8334
李渊建立唐朝	Q8335
李渊（唐朝开国皇帝）	Q8336
李漼	Q8337
李瀚章	Q8338
李炎（唐武宗）	Q8339
李烈钧	Q8340
李焕之	Q8341
李琳（内地男歌手）	Q8343
李瑞环	Q8344
李登辉（台湾地区前领导人）	Q8345
李白（唐代著名浪漫主义诗人）	Q8346
李石曾	Q8347
李立三	Q8348
李立国（老青年）	Q8349
李约瑟（英国现代生物化学家、科学技术史专家）	Q8350
李纪堂	Q8351
李纯（唐宪宗）	Q8352
李维（中国好声音第三季学员）	Q8355
李翱	Q8357
李翼（曹魏兖州刺史）	Q8358
李自成（明末农民起义领袖）	Q8359
李诵	Q8360
李豫（唐代宗）	Q8361
李豫（唐朝皇帝唐代宗）	Q8362
李轨	Q8364
李辅国	Q8365
李达三（民族工商业家）	Q8366
李达（中国人民解放军上将）	Q8368
李适（唐朝第九位皇帝）	Q8369
李逸（小说《网游之射破苍穹》主角）	Q8370
李隆基（唐玄宗）	Q8371
李靖（隋末唐初军事家）	Q8372
李鸣（陕西籍演员）	Q8373
李鸿章（晚清名臣）	Q8374
李鹏（2011年感动中原十大年度人物、抗洪抢险勇士）	Q8375
李鹏（国务院原总理）	Q8376
材料科学（应用科学领域）	Q8379
村庄：阿雉阿拉的秘密	Q8382
村田省藏	Q8383
杜伏威	Q8384
杜佑	Q8385
杜甫故里（诗人杜甫故里）	Q8388
杜鹃（新丝路模特大赛冠军、演员）	Q8391
杜鹃（杜鹃花科植物）	Q8392
杠杆原理（物理学力学定理）	Q8393
杠杆平衡	Q8394
杠杆（简单机械）	Q8395
来源（中国内地女演员）	Q8397
杨侑	Q8398
杨凯莉	Q8399
杨利伟	Q8400
杨国忠（唐代宰相）	Q8401
杨坚（隋朝开国皇帝）	Q8402
杨士奇	Q8403
杨广（隋朝第二位皇帝）	Q8406
杨度	Q8407
杨庶堪	Q8408
杨廷和	Q8409
杨德昌（台湾著名导演）	Q8410
杨振华（相声艺人）	Q8412
杨旭文	Q8414
杨明斋	Q8415
杨春茂	Q8416
杨泉（八珠乡党委副书记、政府乡长）	Q8418
杨洋（中国内地男演员）	Q8419
杨浦区	Q8420
杨溥（明代著名政治家、内阁首辅）	Q8421
杨玉环（唐玄宗宠妃）	Q8423
杨胜（福建三明市梅列区委书记）	Q8425
杨荣（明朝著名政治家、文学家，内阁首辅）	Q8426
杨衢云	Q8427
杨贤	Q8428
杨镐	Q8429
杨鹤龄（革命志士、孙中山总统府原顾问）	Q8430
杭州（浙江省省会）	Q8432
杭黄高速铁路	Q8435
杰伊	Q8436
杰弗雷·乔叟	Q8438
杰罗姆·布鲁纳	Q8439
松下（日本著名电子产品制造商）	Q8440
松柏	Q8443
松涛水库	Q8447
松花江（黑龙江在中国境内的最大支流）	Q8448
松赞干布（吐蕃王朝第33任赞普）	Q8449
极光（自然现象）	Q8454
极地气候	Q8455
极权主义	Q8458
极深地下实验室	Q8459
极端民族主义	Q8461
极锋	Q8462
极限特工	Q8463
构建社会主义和谐社会	Q8464
构造主义	Q8465
林则徐（清朝道光时期大臣、民族英雄）	Q8472
林地（成片的天然林、次生林和人工林覆盖的土地）	Q8474
林彪	Q8476
林昭亮	Q8479
林更新	Q8480
林森（福州市摄影协会副主席）	Q8481
林海（中国农业大学经济管理学院讲师）	Q8483
林爽文	Q8484
林爽文事件	Q8485
林纳斯·托瓦兹	Q8486
林述庆	Q8488
林青霞（中国台湾女演员）	Q8489
林麝	Q8490
果壳网	Q8492
枢纽机场	Q8498
枪乌贼（动物）	Q8499
枪杆子里面出政权	Q8500
枪（热兵器火枪）	Q8501
架空层	Q8503
柏拉图主义	Q8504
柏拉图学院	Q8505
柏拉图（古希腊哲学家）	Q8506
柏文蔚	Q8507
柏林洪堡大学	Q8508
柏林爱乐乐团	Q8509
柏林（德国首都）	Q8511
柠檬市场	Q8515
查士丁尼一世	Q8517
查尔斯·巴贝奇（英国发明家、电脑先驱）	Q8518
查尔斯·斯科特·谢灵顿	Q8519
查尔斯·桑德斯·皮尔士	Q8520
查尔斯·罗伯特·达尔文（英国生物学家、进化论的奠基人）	Q8521
查尔斯·霍顿·库利	Q8522
查理·路易·孟德斯鸠	Q8523
柬埔寨	Q8524
柯伊伯带	Q8525
柯文哲	Q8527
柯林·武德	Q8529
柯洁	Q8530
柯西	Q8531
柳得恭	Q8533
柳树	Q8534
柳生十兵卫（日本封建时代有名的剑客）	Q8536
柳诒徵	Q8537
标准音	Q8544
校准	Q8549
校园（词语概念）	Q8550
核反应堆	Q8552
核心利益	Q8555
核球	Q8558
核磁共振仪	Q8560
核磁共振（物理现象结构分析手段）	Q8561
核糖体	Q8562
核糖核酸	Q8563
核素	Q8564
核聚变	Q8565
核能	Q8566
核能发电	Q8567
核裂变	Q8568
根纳季·安德列耶维奇·久加诺夫	Q8570
格但斯克	Q8571
格劳秀斯	Q8573
格奥尔吉·康斯坦丁诺维奇·朱可夫	Q8574
格奥尔格·威廉·弗里德里希·黑格尔	Q8575
格奥尔格·齐美尔	Q8576
格廷根大学	Q8577
格式塔心理学	Q8579
格拉姆	Q8580
格桑嘉措	Q8581
格物学	Q8582
格物致知	Q8583
格里哥里·叶夫谢也维奇·季诺维也夫	Q8587
格里戈里·佩雷尔曼	Q8588
格陵兰岛（丹麦属地、世界最大岛屿）	Q8589
格鲁派	Q8591
桂军（民国时期广西实力派所辖军队的习称）	Q8592
桂林山水（桂林旅游资源总称）	Q8593
桂林郡	Q8595
桃园捷运	Q8600
桃园（中国台湾桃园市）	Q8601
桃园（中国台湾省桃园市）	Q8602
桃李杯	Q8603
框架（建筑学概念）	Q8604
桌面环境	Q8611
桑结嘉措	Q8617
桓温	Q8620
桓玄	Q8621
桥接	Q8623
梁冀	Q8626
梁妠	Q8627
梁实秋（中国近代著名文学家）	Q8628
梁州	Q8631
梁师都	Q8632
梁思永	Q8635
梁王（古代王爵称号）	Q8638
梁用	Q8639
梁田（湖南卫视主持人）	Q8640
梁皇后（西夏毅宗皇后）	Q8641
梁红玉（南宋抗金女英雄）	Q8642
梅兰妮·克莱茵	Q8644
梅兰芳（中国京剧表演艺术家）	Q8645
梅因	Q8649
梅花桩	Q8655
梅西叶星表	Q8656
梓材	Q8659
梦溪笔谈	Q8661
梦的解析（弗洛伊德著心理学理论）	Q8662
梵净山（贵州省铜仁市梵净山）	Q8666
梵剧	Q8667
梵天净土	Q8668
梵蒂冈（梵蒂冈城国）	Q8669
检察官（依法行使国家检察权的检察人员）	Q8670
检察机关	Q8671
棉兰老岛	Q8672
棉花（锦葵科棉属植物）	Q8674
棒旋星系	Q8676
棒球（体育运动）	Q8679
棕头鸥	Q8681
棘手（2006年约翰·波尔森拍摄电影）	Q8682
棠樾牌坊群	Q8684
森林生态系统	Q8685
森林覆盖率	Q8686
森林面积	Q8687
植树节	Q8688
植树造林	Q8689
植物生理学（植物学术语）	Q8696
植物界	Q8697
植物群	Q8700
植物（有叶绿素和细胞壁能够进行自养的真核生物）	Q8702
椭圆星系	Q8703
楚国（先秦诸侯国）	Q8705
楚国（周朝时期诸侯国）	Q8706
楚平王	Q8708
楚庄王	Q8709
楚汉之争（历史事件）	Q8713
楚辞（中国首部浪漫主义诗歌总集）	Q8714
概念设计	Q8718
概率	Q8719
概率论（数学分支）	Q8720
榕江县	Q8721
樊哙（西汉开国元勋，大将军，左丞相）	Q8725
模型论	Q8727
模式植物	Q8728
模式转换	Q8731
模拟实验	Q8732
模拟计算机	Q8733
模组	Q8734
横断山脉（中国最长、最宽和最典型的南北向山系）	Q8736
横滨	Q8737
樱花钩吻鲑	Q8739
檀台	Q8742
次贷危机	Q8745
欢乐颂（贝多芬作品）	Q8747
欧亚草原	Q8750
欧元	Q8751
欧几里得几何	Q8752
欧拉羊	Q8754
欧洲	Q8755
欧洲人（人种）	Q8757
欧洲共同体	Q8759
欧洲历史（欧洲的历史）	Q8760
欧洲哲学	Q8761
欧洲大陆（地理学名词）	Q8762
欧洲核子研究组织	Q8763
欧洲联盟条约	Q8764
欧洲联盟（欧洲经济、政治共同体）	Q8765
欧洲足球锦标赛	Q8766
欧洲音乐	Q8767
欧洲（地球七大洲之一）	Q8768
欧玛尔·海亚姆	Q8769
欧美国家	Q8771
欧美地区	Q8772
欧联卫浴	Q8773
欧里庇得斯	Q8775
欧阳予倩（著名戏剧艺术家）	Q8776
欧阳修（北宋名臣）	Q8777
欧阳姓	Q8778
欧陆哲学	Q8779
歌剧（音乐的戏剧）	Q8780
歌德（美国耳机品牌）	Q8783
歌手（湖南卫视音乐竞技节目）	Q8784
歌手（职业名称）	Q8785
歌曲	Q8786
歌舞伎	Q8787
歌词（声乐作品中的词句）	Q8788
歙县	Q8790
正一教	Q8791
正一派	Q8792
正常物品	Q8795
正念减压	Q8797
正念（词语解释）	Q8798
正整数	Q8799
正骨（中医骨科诊疗）	Q8803
武丁	Q8804
武侠片	Q8806
武则天（中国武周时期女皇帝）	Q8808
武周（中国历史朝代）	Q8809
武器（词语释义）	Q8810
武夷山脉	Q8811
武夷山（世界文化与自然双重遗产，国家5a级旅游景区）	Q8812
武庚叛乱	Q8816
武庚（中国历史人物）	Q8817
武当山（湖北省十堰市武当山）	Q8819
武汉东湖新技术产业开发区	Q8826
武汉会战（抗日战争时期一场大规模战役）	Q8828
武汉城市圈	Q8831
武汉大学	Q8833
武汉天河国际机场	Q8835
武汉长江二桥	Q8839
武汉（湖北省省会）	Q8843
武经七书	Q8844
武艺（攻防格斗技术）	Q8845
武陵山	Q8846
死刑立即执行	Q8851
死锁	Q8852
段宜恩	Q8858
段祺瑞（皖系军阀首领）	Q8859
殷人	Q8860
殷墟（世界文化遗产、5a级景区、河南安阳殷墟）	Q8861
殷汝耕	Q8862
比丘	Q8869
比亚迪股份有限公司	Q8870
比例尺	Q8871
比例（数学术语）	Q8872
比利时	Q8873
比利时工人党	Q8874
比利时布鲁塞尔	Q8875
比尔·盖茨（美国微软公司联合创始人）	Q8877
比尔·默里	Q8878
比表面积	Q8881
比较利益	Q8882
比较心理学	Q8883
比鲁尼	Q8885
毕业典礼（微电影）	Q8886
毕业歌（2014年曹盾执导电视剧）	Q8887
毕永年	Q8889
毕达哥拉斯	Q8892
毕达哥拉斯学派	Q8893
毗湿奴（印度教主神）	Q8894
毛利人	Q8899
毛泽东思想	Q8901
毛泽东（中共中央文献研究室、新华通讯社编辑图书）	Q8903
毛泽东（全民所著图书）	Q8904
毛泽东（无产阶级革命家）	Q8905
氏族制度	Q8909
氏族（原始社会中人类社会群体）	Q8910
民主主义	Q8911
民主主义革命	Q8912
民主共和制	Q8913
民主选举（词意）	Q8919
民主集中制	Q8920
民俗文化	Q8921
民劳	Q8923
民工（外来务工人员）	Q8926
民意调查	Q8927
民政长官	Q8929
民族主义（意识形态运动）	Q8930
民族乐器	Q8931
民族乡	Q8932
民族医学	Q8935
民族压迫	Q8936
民族志（写作文本）	Q8939
民族构成	Q8944
民族融合	Q8948
民族语言	Q8950
民族资产阶级	Q8951
民族问题	Q8952
民族音乐学	Q8954
民族风情	Q8955
民族（中国国家民族事务委员会主办的综合性刊物）	Q8956
民族（经长期历史发展而形成的稳定共同体）	Q8957
民营企业	Q8964
民谣	Q8965
民谣（名词）	Q8966
民谣（赵雷所演唱歌曲）	Q8967
民间信仰（民众中自发产生的一套神灵崇拜观念）	Q8970
民间音乐（有民族性和地域性的音乐）	Q8972
气候	Q8973
气候变化（气候平均状态随时间的变化）	Q8974
气压	Q8975
气压梯度	Q8976
气态巨行星	Q8978
气血津液	Q8980
氢离子浓度指数	Q8984
氢键	Q8985
氦气	Q8986
氧化剂（常规具有氧化作用的化学用品）	Q8987
氧化性	Q8988
氧化还原	Q8990
氯化钠	Q8993
氯离子	Q8994
水上运输	Q8996
水下导弹发射平台	Q8997
水体	Q9002
水分子	Q9004
水力（教师、演说人）	Q9005
水千丞	Q9006
水合氢离子	Q9008
水土流失（自然灾害）	Q9009
水平衡	Q9012
水平运动	Q9013
水循环	Q9014
水星（太阳系的八大行星之一）	Q9016
水杉	Q9018
水浒传（中国古典四大名著之一）	Q9021
水獭（水獭）	Q9022
水磨沟区	Q9025
水稻	Q9027
水箱	Q9028
水线	Q9029
水西土司	Q9034
水调歌头（词牌名）	Q9035
水貂	Q9036
水资源	Q9038
水资源总量	Q9039
水资源短缺	Q9040
永久中立国	Q9043
永久（品牌）	Q9044
永乐大典	Q9045
永乐迁都	Q9047
永兴岛	Q9049
永徽律	Q9058
永恒战争	Q9059
永暑礁	Q9062
永生（梦入神机创作玄幻小说）	Q9067
永登县	Q9068
永续发展	Q9069
汇丰银行	Q9071
汇编语言（面向机器的程序设计语言）	Q9072
汉书	Q9075
汉书·艺文志	Q9076
汉传佛教	Q9078
汉刘邦	Q9079
汉口镇	Q9086
汉口（武汉市重要组成部分，武汉三镇之一）	Q9087
汉堡（德国北部城市）	Q9088
汉字文化圈	Q9089
汉密尔顿（加拿大安大略省重工业城市）	Q9091
汉文化	Q9092
汉斯·艾森克	Q9093
汉族	Q9095
汉族人口	Q9096
汉族文化	Q9098
汉昭帝	Q9100
汉朝	Q9102
汉朝君主	Q9103
汉藏语系	Q9105
汉语	Q9106
汉赋	Q9107
汉阳铁厂	Q9109
汕头	Q9110
汗血宝马（阿哈尔捷金马的别称）	Q9113
江充（西汉武帝朝绣衣使者、水衡都尉）	Q9117
江华（宁远县委副书记、县长）	Q9118
江华（香港艺人）	Q9119
江南省	Q9122
江南（中国内地男演员）	Q9124
江南（北京美术家协会会员）	Q9125
江南（小说作家）	Q9129
江南（汉乐府诗）	Q9130
江口拓也	Q9132
江宁区	Q9133
江宁府（南京古称）	Q9134
江户	Q9136
江户幕府	Q9137
江户时代	Q9138
江明洋	Q9139
江格尔（蒙古族英雄史诗）	Q9140
江泽民	Q9143
江浙	Q9144
江淮运河	Q9149
江苏	Q9150
江苏菜	Q9151
江西理工大学	Q9152
江西（中华人民共和国省级行政区）	Q9154
