.cn	I2
慕尼黑大学	I7089
戈壁（戈壁沙漠）	I7094
戈特弗里德·威廉·莱布尼茨	I7095
戏剧情节	I7098
戏剧理论	I7099
戏剧艺术	I7100
戏剧表演	I7101
戏剧（中央戏剧学院cssci扩展来源期刊）	I7102
戏剧（舞台表演艺术）	I7103
戏子（2016年韩国sbs电视台水木剧）	I7104
戏曲剧种	I7105
戏曲艺术（中国戏曲艺术）	I7106
戏班	I7108
成人教育	I7109
成本	I7118
成本差异	I7119
成本效益分析	I7120
成本目标	I7121
成熟阶段	I7123
成都（四川省省会）	I7126
我不知道（歌曲）	I7128
我思故我在（笛卡尔的哲学命题）	I7133
我是歌手（湖南卫视综艺节目）	I7135
战争（矛盾斗争表现的最高形式与暴力手段）	I7140
战国策（中国古代史学名著、国别体史书）	I7144
战国（中国历史时期）	I7146
战狼ⅱ	I7151
战略伙伴关系	I7152
战略布局	I7154
战略轰炸机	I7158
战略进攻	I7159
戚百草	I7162
戴姆勒-克莱斯勒公司	I7167
戴德生（清末英国来华传教士）	I7170
戴维·希尔伯特	I7174
户籍制度	I7178
房价收入比	I7179
所以……和黑粉结婚了	I7181
所有格	I7182
扁鹊	I7184
扁鹊（古代神医）	I7185
手机开发	I7189
手机（移动电话）	I7191
扎根理论	I7194
打击乐器	I7199
打喷嚏（生命机理）	I7201
打孔机	I7202
托勒密王朝	I7204
托寓	I7205
托马斯·卡莱尔	I7210
托马斯·罗伯特·马尔萨斯	I7212
托马斯·莫尔	I7213
托马斯·里德	I7214
托马斯·阿奎纳	I7215
托马斯·霍布斯	I7216
托马索·康帕内拉	I7218
扩张性财政政策	I7223
扬·巴普蒂斯塔·范·海尔蒙特	I7225
批判哲学	I7232
批评家（专门从事评论、评批的人）	I7235
找工作	I7237
技术进步	I7246
抑郁症	I7249
抗日战争（中华民族全面抗日战争）	I7253
抗日战争（中国抵抗日本侵略的一场民族性的全面战争）	I7254
折衷主义	I7259
抚远	I7260
拉丁文	I7280
拉卡托斯	I7284
拉希姆·斯特林	I7286
拉普拉斯（法国数学家、物理学家）	I7289
拉格朗日量	I7291
拉洋片	I7292
拉美特利	I7294
拉马克	I7300
拉高	I7301
拒绝服务攻击	I7302
拓扑学	I7304
拓扑结构	I7305
拓扑群	I7306
拔火罐	I7313
招商银行	I7317
拟人论	I7325
指书	I7336
指令（算术运算）	I7337
挑战者号航天飞机	I7344
挤出效应	I7346
挪威	I7347
挪威国王	I7348
探明储量	I7370
探险家（指从事探险的人）	I7372
掩星	I7377
描述性研究	I7378
插值（离散数学名词）	I7380
摄动理论	I7385
摄影测量法	I7389
摄影（专业术语）	I7390
摇滚乐（音乐种类）	I7393
摩天大楼（超高层建筑）	I7395
摩尔质量	I7397
摩尔（物质的量单位）	I7398
摩擦性失业	I7401
摩诃迦叶	I7403
撒哈拉以南非洲	I7405
操作性定义	I7412
操作系统内核	I7413
操作系统（计算机管理控制程序）	I7414
收入分配	I7420
改革开放	I7426
攻补兼施	I7427
放射分析化学	I7429
放射性物质	I7430
放射治疗	I7431
放屁（动词）	I7432
政党制度	I7434
政务院	I7439
政府	I7441
政府失灵	I7442
政府拨款	I7446
政府治理	I7448
政治	I7455
政治人类学	I7459
政治体制	I7460
政治共同体	I7462
政治关系	I7463
政治决策	I7465
政治制度	I7466
政治哲学	I7470
政治哲学（政治学的分支学科）	I7471
政治地理学	I7472
政治学家	I7473
政治学（社会科学学科）	I7474
政治心理学	I7476
政治改革	I7478
政治斗争	I7480
政治权利和自由	I7481
政治格局	I7482
政治环境	I7484
政治现象	I7486
政治生活	I7487
政治社会学	I7488
政治经济学（南京大学出版社出版图书）	I7489
政治结构	I7490
政治联盟	I7492
政法委员会	I7497
效应	I7501
效度	I7502
效率	I7503
效率市场假说	I7504
教学医院	I7508
教父（1972年弗朗西斯·福特·科波拉执导电影）	I7511
教育学（社会学科）	I7517
教育心理学（心理学分支学科）	I7518
教育改革	I7519
敦煌（甘肃省酒泉市代管县级市）	I7525
数书九章	I7528
数值分析（数学下属学科）	I7530
数值分析（清华大学出版社图书）	I7531
数值模拟	I7532
数值积分	I7533
数值计算（指用计算机解决各种数据问题的方法）	I7534
数列	I7535
数字计算机	I7540
数学分析（数学基础分支）	I7542
数学名词	I7543
数学基础	I7544
数学奖	I7545
数学家（游戏王的卡片）	I7547
数学心理学	I7550
数学概念	I7551
数学模型（数学学科）	I7552
数学科学	I7554
数学符号	I7555
数学语言	I7556
数学运算	I7557
数学（学科）	I7558
数据压缩	I7561
数据存储	I7562
数据对象	I7563
数据库	I7564
数据库服务器	I7565
数据库管理系统	I7566
数据库系统	I7567
数据模型	I7570
数据结构（计算机存储、组织数据方式）	I7571
数据（计算机术语）	I7575
数理逻辑（用数学方法研究逻辑或形式逻辑的学科）	I7577
数码摄像机	I7578
数系	I7581
数论派	I7582
数量地理学	I7584
整体论	I7586
整数（数学名词）	I7589
文人音乐	I7592
文件系统	I7593
文化产业（产业门类）	I7594
文化人类学（林惠祥创作人类学作品）	I7595
文化地理学	I7600
文化大革命	I7601
文化接触	I7604
文化旅游	I7605
文化（广泛的知识并将之活学活用与根植内心的修养）	I7607
文字	I7610
文学创作	I7612
文学批评	I7613
文学（一种语言艺术形式）	I7616
文章（印尼歌手）	I7627
文艺复兴（14到17世纪的欧洲思想文化运动）	I7629
文莱	I7631
斐迪南·滕尼斯	I7635
斗栱	I7637
断代史	I7642
斯万特·奥古斯特·阿累尼乌斯	I7646
斯坦福大学	I7649
斯堪的纳维亚半岛	I7650
斯多葛主义	I7651
斯多葛学派	I7652
斯德哥尔摩大学	I7657
斯托曼	I7658
斯拉夫语族	I7660
斯汀	I7661
斯特拉波	I7665
斯科特·辛克莱尔	I7668
斯莫尔	I7669
斯蒂芬·沃尔夫勒姆	I7671
斯诺克（英式台球）	I7672
斯里贾亚瓦德纳普拉科特	I7675
新产品	I7678
新修本草	I7680
新兴凯恩斯学派	I7681
新几内亚岛	I7684
新加坡元	I7686
新加坡港	I7689
新华通讯社	I7692
新古典主义经济学	I7694
新古典主义（新古典主义文化）	I7695
新古典经济学	I7696
新古典综合派	I7697
新喜剧	I7700
新型农村合作医疗	I7704
新康德主义	I7711
新托马斯主义	I7714
新教	I7716
新教伦理与资本主义精神	I7717
新文化运动	I7718
新月沃地	I7721
新柏拉图主义	I7723
新民主主义革命	I7725
新疆和平解放（新疆解放战争）	I7734
新疆（中国自治区）	I7736
新石器革命	I7741
新西兰	I7749
新闻	I7752
新闻学	I7756
新闻组	I7760
新闻自由	I7762
新黑格尔主义	I7768
方与圆	I7769
方剂	I7771
方剂学（中医学科目）	I7772
方向（国家标准委副主任）	I7773
方向（浙江淳安县诗人）	I7774
方安娜	I7779
方差分析	I7780
方法论（哲学术语）	I7781
方法（哲学的方法论）	I7782
方舟子	I7785
施乐	I7788
施今墨	I7789
旅游产业	I7797
旋律（音乐术语）	I7809
无产阶级专政	I7817
无伴奏合唱	I7820
无关变量	I7822
无国界	I7824
无声电影（默片电影）	I7825
无机化合物	I7829
无条件投降	I7830
无神论者	I7834
无线接入点	I7836
无线热点	I7837
无线电探空仪	I7838
无限集合	I7842
日元	I7845
日冕	I7847
日心说	I7851
日月星辰（宇宙的天体）	I7855
日本人（有日本国籍的人或有和族血统的人）	I7857
日本漫画	I7874
日本（日本国）	I7878
日照（山东省省辖市）	I7880
日语	I7882
日食	I7885
早期宇宙	I7892
时空（集合名词）	I7908
时间单位	I7911
时间性	I7912
时间顺序	I7914
时间（事件过程长短和发生顺序的度量）	I7915
昆剧	I7917
昆明	I7919
昆曲（中国传统戏剧）	I7920
昆虫（节肢动物门昆虫纲动物）	I7921
明斯特	I7932
明朝（中国历史朝代）	I7937
明治维新（19世纪60-90年代日本的改革运动）	I7938
易水学派	I7945
星云奖	I7951
星座命盘	I7952
星系	I7953
星系动力学	I7954
星系核	I7955
星系群	I7956
星系自转	I7957
星表	I7959
星际介质	I7960
星际尘埃	I7961
星际气体	I7962
星风	I7963
春秋左氏传	I7968
春秋（春秋经）	I7971
春节（中国传统节日）	I7972
春运（中国特有的文化现象）	I7973
显学	I7978
显生宙	I7980
显著性	I7982
显著性差异	I7983
普劳图斯	I8000
普渡大学	I8007
普罗泰戈拉	I8008
普通化学	I8010
普通法律	I8011
普通话（中华人民共和国通用的现代标准汉语）	I8012
普通高中	I8013
普通高等学校	I8014
普通高等学校招生全国统一考试	I8015
普遍性	I8019
普鲁塔克	I8022
景气循环	I8026
智囊团	I8031
智慧宫	I8032
智能手机	I8036
智能手表（电子科技产品）	I8038
智能电视	I8040
暗星云	I8045
暗星（全新空天武器）	I8046
暗物质晕	I8049
暗物质（不与电磁力产生作用的物质）	I8051
暗物质（物理名词）	I8052
暗示心理学	I8053
暗能量	I8054
暴饮暴食	I8060
曲线积分	I8063
曹颖甫	I8087
曾母暗沙	I8096
曾永义	I8097
替代医学	I8102
替代品（物品价格的上升引起下一物品需求的增加）	I8103
最伟大的	I8104
最低工资（正常劳动下开出的最低金额报酬）	I8106
最受欢迎	I8109
最早的中国	I8112
最终用户许可协议	I8115
月令	I8120
月球（地球的天然卫星）	I8123
月食（天文现象）	I8125
有仇必报	I8126
有声电影	I8128
有效需求	I8132
有机	I8133
有机农业（农业学术语）	I8134
有理数	I8136
有迹可循（2016年石英杰执导电影）	I8144
有限与无限	I8145
服务器	I8152
朗德海花园场景	I8158
望远镜	I8161
朝圣（宗教活动）	I8163
朝阳区（北京市辖区）	I8165
朝阳大学	I8166
朝鲜战争（20世纪50年代朝鲜半岛战争）	I8173
朝鲜族	I8174
朝鲜（朝鲜民主主义人民共和国）	I8175
期刊	I8176
期货交易	I8178
朦胧诗	I8181
木偶戏（国家级非物质文化遗产）	I8184
木星（太阳系八大行星之一）	I8186
木材化学	I8187
木管乐器	I8189
未解之谜（世界十大未解之谜）	I8193
末日审判书	I8194
本·伯南克	I8196
本我、自我与超我	I8201
本星系群	I8202
本草纲目（中医典籍）	I8204
本草经集注	I8205
朱德	I8222
朱镕基	I8247
朱震亨	I8248
朴门学	I8251
机关、团体、企业、事业单位消防安全管理规定	I8252
机制设计理论	I8253
机动战士高达（富野由悠季执导系列作品）	I8254
机器人（自动执行工作的机器装置）	I8255
机械工程（一级学科）	I8263
机电产品	I8266
机能主义	I8267
机顶盒	I8268
杂交水稻（杂交技术培育的水稻品种）	I8269
杂志	I8271
权力分配	I8273
权力制衡	I8274
权力意志	I8275
李先念（无产阶级革命家）	I8288
李克强（中铝宁夏能源集团有限公司党委委员、书记）	I8290
李克强（清华大学汽车工程系系主任）	I8291
李嘉图等价	I8294
李家诚	I8304
李廷机	I8310
李彩琳	I8312
李时珍（明朝医药学家）	I8325
李杲（金元四大家之一）	I8330
李群（安徽省马鞍山市政协主席）	I8356
李翱	I8357
李鹏（2011年感动中原十大年度人物、抗洪抢险勇士）	I8375
李鹏（国务院原总理）	I8376
材料科学（应用科学领域）	I8379
杜佑	I8385
杜鹃（杜鹃花科植物）	I8392
杠杆原理（物理学力学定理）	I8393
杠杆平衡	I8394
杠杆（简单机械）	I8395
杨泉（八珠乡党委副书记、政府乡长）	I8418
杨贤	I8428
杭州（浙江省省会）	I8432
杰伊	I8436
杰罗姆·布鲁纳	I8439
松下（日本著名电子产品制造商）	I8440
松花江（黑龙江在中国境内的最大支流）	I8448
极光（自然现象）	I8454
极深地下实验室	I8459
极锋	I8462
构造主义	I8465
林地（成片的天然林、次生林和人工林覆盖的土地）	I8474
林纳斯·托瓦兹	I8486
果壳网	I8492
架空层	I8503
柏拉图主义	I8504
柏拉图学院	I8505
柏拉图（古希腊哲学家）	I8506
柏林洪堡大学	I8508
柏林（德国首都）	I8511
柠檬市场	I8515
查士丁尼一世	I8517
查尔斯·巴贝奇（英国发明家、电脑先驱）	I8518
查尔斯·斯科特·谢灵顿	I8519
查尔斯·桑德斯·皮尔士	I8520
查尔斯·霍顿·库利	I8522
查理·路易·孟德斯鸠	I8523
柯伊伯带	I8525
柯林·武德	I8529
柳树	I8534
标准模型	I8541
标准行业分类法	I8542
标准音	I8544
校准	I8549
校园（词语概念）	I8550
核反应堆	I8552
核合成	I8553
核心利益	I8555
核球	I8558
核磁共振仪	I8560
核磁共振（物理现象结构分析手段）	I8561
核糖体	I8562
核糖核酸	I8563
核素	I8564
核聚变	I8565
核能发电	I8567
核裂变	I8568
格劳秀斯	I8573
格奥尔格·威廉·弗里德里希·黑格尔	I8575
格奥尔格·齐美尔	I8576
格廷根大学	I8577
格式塔心理学	I8579
格拉姆	I8580
格物学	I8582
格物致知	I8583
格里戈里·佩雷尔曼	I8588
桂林山水（桂林旅游资源总称）	I8593
桃李杯	I8603
框架（建筑学概念）	I8604
案头戏	I8605
桥接	I8623
梅兰妮·克莱茵	I8644
梅因	I8649
梅西叶星表	I8656
梦的解析（弗洛伊德著心理学理论）	I8662
梵剧	I8667
检察官（依法行使国家检察权的检察人员）	I8670
检察机关	I8671
棒旋星系	I8676
棒球（体育运动）	I8679
森林生态系统	I8685
森林覆盖率	I8686
森林面积	I8687
植树节	I8688
植物群	I8700
植物（有叶绿素和细胞壁能够进行自养的真核生物）	I8702
椭圆星系	I8703
概念设计	I8718
概率	I8719
樊哙（西汉开国元勋，大将军，左丞相）	I8725
模型论	I8727
模式转换	I8731
模拟实验	I8732
模拟计算机	I8733
模组	I8734
横断山脉（中国最长、最宽和最典型的南北向山系）	I8736
次贷危机	I8745
欢乐颂（贝多芬作品）	I8747
欧元	I8751
欧几里得几何	I8752
欧洲人（人种）	I8757
欧洲共同体	I8759
欧洲历史（欧洲的历史）	I8760
欧洲哲学	I8761
欧洲大陆（地理学名词）	I8762
欧洲核子研究组织	I8763
欧洲联盟条约	I8764
欧洲联盟（欧洲经济、政治共同体）	I8765
欧洲音乐	I8767
欧洲（地球七大洲之一）	I8768
欧玛尔·海亚姆	I8769
欧美地区	I8772
欧联卫浴	I8773
欧里庇得斯	I8775
欧阳姓	I8778
欧陆哲学	I8779
歌剧（音乐的戏剧）	I8780
歌手（湖南卫视音乐竞技节目）	I8784
歌曲	I8786
歌舞伎	I8787
歌词（声乐作品中的词句）	I8788
正向心理学	I8793
正常物品	I8795
正念减压	I8797
正念（词语解释）	I8798
正电子发射计算机断层扫描	I8801
正骨（中医骨科诊疗）	I8803
武汉大学	I8833
武汉（湖北省省会）	I8843
武艺（攻防格斗技术）	I8845
武陵山	I8846
死刑立即执行	I8851
死锁	I8852
比例尺	I8871
比例（数学术语）	I8872
比利时	I8873
比表面积	I8881
比较利益	I8882
比较心理学	I8883
比鲁尼	I8885
毕达哥拉斯	I8892
毕达哥拉斯学派	I8893
毗湿奴（印度教主神）	I8894
毛利人	I8899
毛泽东思想	I8901
毛泽东（中共中央文献研究室、新华通讯社编辑图书）	I8903
毛泽东（无产阶级革命家）	I8905
氏族制度	I8909
氏族（原始社会中人类社会群体）	I8910
民主共和国	I8914
民主选举（词意）	I8919
民主集中制	I8920
民工（外来务工人员）	I8926
民意调查	I8927
民族主义（意识形态运动）	I8930
民族乐器	I8931
民族医学	I8935
民族压迫	I8936
民族国家	I8938
民族志（写作文本）	I8939
民族识别	I8949
民族语言	I8950
民族资产阶级	I8951
民族问题	I8952
民族音乐学	I8954
民族（中国国家民族事务委员会主办的综合性刊物）	I8956
民族（经长期历史发展而形成的稳定共同体）	I8957
民用航空运输	I8962
民谣（名词）	I8966
民间信仰（民众中自发产生的一套神灵崇拜观念）	I8970
民间音乐（有民族性和地域性的音乐）	I8972
气候变化（气候平均状态随时间的变化）	I8974
气压	I8975
气压梯度	I8976
气态巨行星	I8978
气血津液	I8980
氢氧根离子	I8982
氢离子	I8983
氢离子浓度指数	I8984
氢键	I8985
氦气	I8986
氧化剂（常规具有氧化作用的化学用品）	I8987
氧化性	I8988
氧化数	I8989
氧化还原	I8990
氯化钠	I8993
氯离子	I8994
水体	I9002
水分子	I9004
水合氢离子	I9008
水土流失（自然灾害）	I9009
水平衡	I9012
水平运动	I9013
水循环	I9014
水星（太阳系的八大行星之一）	I9016
水杉	I9018
水磨沟区	I9025
水线	I9029
水貂	I9036
水资源	I9038
水资源总量	I9039
水资源短缺	I9040
永久（品牌）	I9044
永乐大典	I9045
永兴岛	I9049
永徽律	I9058
永恒战争	I9059
永暑礁	I9062
永生（梦入神机创作玄幻小说）	I9067
永续发展	I9069
汇编语言（面向机器的程序设计语言）	I9072
汉书	I9075
汉书·艺文志	I9076
汉字文化圈	I9089
汉文化	I9092
汉斯·艾森克	I9093
汉族	I9095
汉族人口	I9096
汉朝	I9102
汉藏语系	I9105
汉语	I9106
江南（小说作家）	I9129
江户时代	I9138
江泽民	I9143
江苏	I9150
江西（中华人民共和国省级行政区）	I9154
汤姆森（澳洲保健品品牌thompsons汤姆森）	I9166
汤液经法	I9170
汽车	I9185
汽车导航系统	I9187
汽车市场	I9189
沃夫冈	I9193
沃尔姆斯	I9194
沃尔玛百货有限公司	I9196
沈家本	I9207
沈括	I9208
沈阳（辽宁省省会）	I9224
沙利度胺	I9231
沙尘暴（天气现象）	I9234
沙漠之鹰	I9236
沙罗周期	I9240
沪江大学	I9250
河北（中华人民共和国省级行政区）	I9270
河南（中华人民共和国省级行政区）	I9279
河海大学	I9287
河间学派	I9292
油脂植物	I9298
法人（法律概念）	I9318
法兰克福大学	I9319
法兰克福学派	I9320
法兰克福（德国黑森州最大城市）	I9321
法医	I9326
法医学（清华大学出版社出版图书）	I9327
法医鉴定	I9328
法哲学（法的基本理论的一门学科）	I9330
法国大革命（历史革命）	I9334
法国电影	I9336
法国科学院	I9337
法国（法兰西共和国）	I9339
法学教育	I9340
法学研究	I9341
法学硕士	I9342
法学（关于法律问题的知识和理论体系）	I9343
法官（法律术语）	I9344
法定节假日	I9345
法家	I9346
法家哲学	I9347
法律专业	I9353
法律博士	I9355
法律史学	I9356
法律特征	I9359
法律现象	I9360
法律的概念	I9361
法律经济学	I9362
法律职业	I9363
法律观念	I9364
法律（法律概念）	I9365
法治国家	I9368
法理学（法学学科）	I9369
法的本质	I9370
法系（法律）	I9371
泛函分析（数学分支学科）	I9380
泛胜之书	I9383
波兰（波兰共和国）	I9391
波函数	I9392
波动力学（学科名称）	I9393
波士顿（美国马萨诸塞州的首府和最大城市）	I9394
波尔多（法国城市bordeaux）	I9395
波希战争	I9397
波斯人	I9403
波斯帝国	I9405
波斯（古代文明及民族）	I9407
波普尔	I9408
波爱修斯	I9409
波里比阿	I9414
波长范围	I9415
波音（美国航空航天制造公司）	I9417
泰勒斯	I9422
泰国	I9423
泰奥弗拉斯托斯	I9427
泰西封	I9433
洋中脊	I9436
洋流	I9442
洗冤集录	I9445
洛克菲勒大学	I9447
洛克（美籍奥地利学者约瑟夫·洛克）	I9448
洛夫（诗人）	I9449
洛桑学派	I9451
活动主题	I9475
活动星系	I9477
活动星系核	I9478
流星雨（天文现象）	I9487
流星（天文现象）	I9488
流行音乐（一种音乐风格）	I9491
测绘仪器	I9497
测绘学	I9498
测量仪器	I9499
测量数据	I9500
测量结果	I9501
浏览器	I9510
浙江	I9515
浙江大学	I9516
浦薛凤	I9522
浪漫主义	I9524
浪潮集团有限公司	I9525
浮力	I9526
海上航路	I9535
海什木	I9538
海冰（海水冻结而成的咸水冰）	I9540
海南特别行政区	I9548
海南（中华人民共和国省级行政区）	I9556
海地（北美洲国家）	I9568
海岸线（大海和地面的交界线）	I9576
海峡两岸（中国中央电视台栏目）	I9577
海底热泉	I9581
海拔高度	I9585
海水淡化	I9588
海洋动物（海洋中异养型生物的总称）	I9592
海洋化学	I9593
海洋权益	I9597
海洋浮标	I9598
海洋调查船	I9599
海洋酸化	I9601
海王星（太阳系八大行星之一）	I9607
海陆（中国内地女演员）	I9617
消费者权益	I9623
消费者理论	I9624
淀粉植物	I9635
淘宝信用等级	I9639
淡水湖	I9647
淮河	I9664
深圳	I9672
深圳地铁	I9674
深圳市第一职业技术学校	I9676
深圳港	I9677
深度访谈	I9679
深空天体	I9681
淳于意	I9683
混合物	I9685
混合经济	I9686
混沌理论（一种兼具质性思考与量化分析的方法）	I9687
清党	I9689
清华大学	I9693
清明节（中华民族的传统节日）	I9699
清朝（中国历史朝代）	I9702
渚碧岛	I9724
渡江战役	I9726
渤海海峡	I9730
渤海（中华人民共和国管辖北部内海）	I9731
温室气体	I9735
温家宝（中华人民共和国国务院原总理）	I9736
温带落叶阔叶林	I9741
温度（物理量）	I9742
温病学	I9746
温病学派	I9747
温补学派	I9748
港铁	I9753
游戏机（名词）	I9757
游戏（娱乐方式）	I9760
游泳（体育运动）	I9763
湄公河（中南半岛河流）	I9768
湖北	I9770
湖南（中华人民共和国省级行政区）	I9784
湖泊	I9789
湘南起义（1928年朱德、陈毅在宜章县发动的起义）	I9790
源代码（示例源程序）	I9796
源程序	I9797
滕尼斯	I9809
满族	I9812
滴灌	I9825
演化心理学	I9826
演化理论	I9827
演化生物学	I9828
演化经济学	I9829
演员（职业名称）	I9830
演员（薛之谦歌曲）	I9831
漠河（大兴安岭地区下辖县级市）	I9835
潜在超级大国	I9844
潜意识（心理学名词）	I9846
潮汐力	I9851
潮汐（自然现象）	I9853
澳大利亚	I9865
澳洲原住民	I9867
澳门主权移交	I9868
澳门大学	I9869
澳门科技大学法学院	I9871
澳门（中华人民共和国澳门特别行政区）	I9873
澳门（屈大均的其中一首诗）	I9874
激光冷却	I9876
激光干涉引力波天文台	I9877
激光（受激辐射光放大）	I9878
火山作用	I9886
火成论	I9887
火星（太阳系八大行星之一）	I9890
火车进站（世界上第一批影片）	I9898
灵长目	I9908
灾变论（学术理论）	I9910
炎帝（中国上古部落首领）	I9911
炼金术士（游戏dota中英雄）	I9917
炼金术（中世纪化学哲学思想）	I9918
烟台市三特翻译事务所	I9920
热力学定律	I9923
热力学第一定律	I9925
热导率	I9929
热带气旋	I9932
热带雨林（热带气候区的独特生态系统）	I9933
热病	I9937
热辐射	I9938
热通量	I9939
焚书坑儒（历史事件）	I9940
焦耳（物理学单位）	I9947
煤化学	I9948
照相机（利用光学原理成像并记录影像设备）	I9952
熔断器	I9958
燃素说	I9960
爬行动物（2010年湖北教育出版社出版的图书）	I9978
爰书	I9979
爱丁堡大学	I9980
爱丽丝（美国电影《生化危机》系列中的女主角）	I9982
爱利克·埃里克森	I9985
爱德华·纽盖特	I9992
爱德华·霍列特·卡尔	I9993
爱新觉罗·载湉	I10010
爱智慧	I10012
爱米尔·涂尔干	I10014
爵士乐（音乐类型）	I10016
爵士歌王	I10017
爵士（欧洲君主国的一种爵位）	I10018
父亲的病	I10019
爸爸去哪儿（湖南卫视亲子互动真人秀）	I10021
版本号	I10026
牙齿疼痛	I10030
牛顿力学	I10041
牛顿运动定律	I10042
牛顿（物理学单位）	I10043
物体状态	I10054
物理光学（物理学科）	I10059
物理声学	I10060
物理学分支	I10061
物理学（自然科学学科）	I10062
物理宇宙学	I10063
物理定律	I10064
物理小识	I10066
物理系	I10067
物理系统	I10068
物种起源（英国查尔斯·罗伯特·达尔文著图书）	I10071
物自身	I10072
物质世界	I10073
物质的量	I10074
物质（化学物质）	I10075
物质（物理学名词）	I10076
特别关注（杂志名）	I10077
特别提款权	I10080
特别行政区	I10081
特大城市（城区常住人口500至1000万的城市）	I10083
特异性（细胞免疫概念）	I10087
特殊利益集团	I10089
特殊化	I10091
特色（一事物区别于其他事物的独有特征）	I10094
特质	I10095
特质理论	I10096
犬细小病毒	I10103
犯罪小说（美国电影）	I10104
犯罪心理学（心理学分支学科）	I10105
犹太人	I10108
犹太教	I10110
狂战士（英雄联盟角色）	I10112
狗熊	I10113
狭义相对论	I10118
猪无名高热综合征	I10124
猴（灵长类动物）	I10128
玄学（形而上学）	I10131
王叔和	I10150
王岐山	I10164
王思佳（中国台湾影视艺人）	I10171
王惟一	I10172
王森（中国内地男演员）	I10180
王焘（唐代医家）	I10188
王琳（大连电台体育广播主持人）	I10190
王通（隋朝教育家）	I10203
王韬（中国内地男演员）	I10211
玛斯	I10215
玛雅（玛雅人、玛雅语和玛雅文明的统称）	I10222
玩游戏（ios平台应用）	I10224
环境保护（自然空气环境保护）	I10226
环境决定论	I10227
环境化学（环境科学中的学科分支）	I10228
环境恶化	I10229
环球金融危机	I10240
环绕地球	I10242
现代主义	I10243
现代医学	I10244
现代哲学	I10245
现代宇宙学	I10246
现代密码学	I10247
现代小说（文学体裁）	I10248
现代性	I10250
现代文学	I10252
现代汉语词汇	I10253
现代物理学	I10254
现代社会	I10255
现代社会学理论	I10256
现代经济学	I10257
现代舞	I10258
现代逻辑	I10259
现代音乐	I10260
现场品牌体验	I10263
现象学（20世纪在西方流行的一种哲学思潮）	I10265
玻化砖	I10267
玻璃（硅酸盐类非金属材料）	I10268
玻色-爱因斯坦凝聚态	I10269
珍妮·古道尔	I10274
珠江	I10282
珠穆朗玛峰（世界最高峰）	I10289
球状星团	I10294
理性主义	I10296
理性选择理论	I10297
理性预期理论	I10298
理性预期（经济学术语）	I10299
理性（哲学概念）	I10300
理想国（古希腊哲学家柏拉图著作）	I10301
理查德·费曼	I10308
理查德·马修·斯托曼	I10309
理查森（物理学家）	I10310
理论家	I10312
理论心理学	I10313
理论检验	I10314
理论模型	I10315
理论物理	I10316
理论物理学	I10317
理论物理学家	I10318
理论知识	I10319
琥珀（课文：奇异的琥珀）	I10324
琼·罗宾逊	I10327
琼州海峡	I10333
琼瑶（中国当代作家、编剧）	I10336
瑞典	I10337
瑞典隆德大学	I10340
瑞士（欧洲发达国家）	I10342
瑞金	I10345
瓦伦纽斯	I10350
瓦尔拉斯	I10352
瓦窑堡会议	I10354
甘肃	I10364
生产可能性边界	I10371
生产可能性边界线	I10372
生产总值	I10373
生产成本	I10374
生产资料私有制	I10378
生命中不能承受之情	I10380
生命起源理论	I10384
生存权	I10385
生态环境（生态关系组成的环境的简称）	I10388
生态系统	I10389
生态经济学（经济学分支学）	I10390
生活事件	I10393
生活体验	I10394
生活方式（各个民族、阶级和社会群体的生活模式）	I10397
生物分子	I10400
生物分类学	I10401
生物制品	I10402
生物化学（自然科学）	I10403
生物化石	I10404
生物圈	I10406
生物地球化学	I10408
生物声学	I10409
生物多样性公约	I10410
生物多样性（生态学术语）	I10411
生物学家	I10412
生物学（自然科学六大基础学科之一）	I10413
生物心理学	I10414
生物环境	I10418
生物科学	I10419
生物能源	I10421
生物（具有动能的生命体）	I10422
生理心理学	I10423
用户	I10429
用户态	I10431
甲方乙方（1997年冯小刚执导电影）	I10451
甲骨文公司	I10453
申不害	I10455
申请专利	I10461
电力线路	I10465
电子工程学	I10471
电子工程师	I10472
电子游戏	I10474
电子设计自动化	I10478
电子邮件	I10479
电子音乐	I10480
电子音乐制作	I10481
电子（基本粒子之一）	I10482
电导率	I10483
电影产业	I10484
电影制作	I10485
电影发行	I10487
电影摄影机	I10489
电影放映	I10490
电影理论	I10491
电影画面	I10492
电影票房	I10493
电影评论	I10494
电影语言（电影术语）	I10495
电影院（放映电影的场所公共场所）	I10496
电影音轨	I10497
电影（世界图书出版公司出版图书）	I10498
电影（综合的现代科技与艺术）	I10499
电影（范晓萱演唱歌曲）	I10500
电晶体	I10502
电机工程学	I10503
电气和电子工程师协会	I10504
电波星系	I10505
电磁力	I10506
电磁场	I10507
电磁学（物理学科分类）	I10508
电磁波	I10509
电磁波谱	I10510
电磁相互作用	I10511
电磁（电磁物理）	I10512
电离氢区	I10513
电脑编程	I10519
电荷守恒	I10521
电荷量	I10522
电视剧（中国电视娱乐杂志）	I10523
电视广告	I10525
电视连续剧（情节连续而分成若干集拍摄的电视剧）	I10528
电视频道	I10529
界门纲目科属种	I10541
留基伯	I10543
留声机（放音装置）	I10544
畜牧业	I10546
疏散星团	I10552
疏水作用	I10553
疡医	I10555
疮疡	I10558
疯羊	I10559
疾病	I10560
疾病（人类的状态）	I10562
