	Q1
朝鲜半岛	Q8173
朝鲜战争（20世纪50年代朝鲜半岛战争）	Q8174
朝鲜族	Q8175
朝鲜（朝鲜民主主义人民共和国）	Q8176
期刊	Q8177
期望寿命	Q8178
期货交易	Q8179
期货交易所	Q8180
期货合约	Q8181
朦胧诗	Q8182
木乃伊（1999年斯蒂芬·索莫斯执导的电影）	Q8183
木乃伊（人工干尸）	Q8184
木偶戏（国家级非物质文化遗产）	Q8185
木兰诗	Q8186
木星（太阳系八大行星之一）	Q8187
木材化学	Q8188
木材蓄积量	Q8189
木管乐器	Q8190
木耳（真菌）	Q8191
木马病毒	Q8192
未来学家	Q8193
未解之谜（世界十大未解之谜）	Q8194
末日审判书	Q8195
末日审判（来源）	Q8196
本·伯南克	Q8197
本体论	Q8198
本原元	Q8199
本原元定理	Q8200
本帮菜	Q8201
本我、自我与超我	Q8202
本星系群	Q8203
本溪（辽宁省地级市）	Q8204
本草纲目（中医典籍）	Q8205
本草经集注	Q8206
本钢集团有限公司	Q8207
术士（网络游戏《魔兽世界》中的职业）	Q8208
朱允炆（历史人物）	Q8209
朱元璋（明朝开国皇帝）	Q8210
朱其文（原国务院第一办公室副主任）	Q8211
朱厚照（明武宗）	Q8212
朱厚熜（明朝第十一位皇帝）	Q8213
朱友贞（五代十国后梁末帝）	Q8214
朱和中	Q8215
朱培德	Q8216
朱塞佩·皮亚诺	Q8217
朱家角镇	Q8218
朱常洛	Q8219
朱常洵	Q8220
朱庆澜	Q8221
朱彧	Q8222
朱德	Q8223
朱木炎	Q8224
朱某	Q8225
朱标	Q8226
朱梓骁	Q8227
朱棣（明成祖）	Q8228
朱淇	Q8229
朱温（五代梁朝开国皇帝）	Q8230
朱湘	Q8231
朱熹（南宋理学家）	Q8232
朱由崧	Q8233
朱由校（明朝皇帝）	Q8234
朱由检	Q8235
朱由榔	Q8236
朱瞻基	Q8237
朱砂（矿物）	Q8238
朱祁钰（明朝第七位皇帝）	Q8239
朱祁镇（明英宗）	Q8240
朱祐樘	Q8241
朱罗	Q8242
朱翊钧	Q8243
朱聿键	Q8244
朱莉·德赖弗斯	Q8245
朱见深	Q8246
朱载垕	Q8247
朱镕基	Q8248
朱震亨	Q8249
朱高炽	Q8250
朴次茅斯和约	Q8251
朴门学	Q8252
机关、团体、企业、事业单位消防安全管理规定	Q8253
机制设计理论	Q8254
机动战士高达（富野由悠季执导系列作品）	Q8255
机器人（自动执行工作的机器装置）	Q8256
机器学习	Q8257
机器感知	Q8258
机器翻译	Q8259
机器视觉（科技技术）	Q8260
机器语言	Q8261
机场（搭乘空中交通及供飞机起降的设施）	Q8262
机械制造（工业生产部门）	Q8263
机械工程（一级学科）	Q8264
机械设备	Q8265
机械零件（机械工程学术语）	Q8266
机电产品	Q8267
机能主义	Q8268
机顶盒	Q8269
杂交水稻（杂交技术培育的水稻品种）	Q8270
杂家	Q8271
杂志	Q8272
杂粮	Q8273
权力分配	Q8274
权力制衡	Q8275
权力意志	Q8276
权力（社会学词汇）	Q8277
权钱交易	Q8278
李世民（唐太宗）	Q8279
李世石	Q8280
李乐（内地男演员）	Q8281
李乾顺	Q8282
李亨（唐朝皇帝）	Q8283
李亨（唐肃宗）	Q8284
李修贤	Q8285
李儇	Q8286
李元昊	Q8287
李充（东晋文学家）	Q8288
李先念（无产阶级革命家）	Q8289
李光耀（新加坡国父）	Q8290
李克强（中铝宁夏能源集团有限公司党委委员、书记）	Q8291
李克强（清华大学汽车工程系系主任）	Q8292
李卫公问对	Q8293
李叔同	Q8294
李嘉图等价	Q8295
李国昌（后唐献祖）	Q8296
李士群	Q8297
李大钊	Q8298
李天佑（中国内地男歌手、影视演员、网络主播）	Q8299
李存勖（五代十国时期后唐开国皇帝）	Q8300
李存勖（五代后唐开国皇帝）	Q8301
李安吉（音乐人）	Q8302
李安（华人导演、编剧）	Q8303
李宗仁（中华民国首任副总统、代总统）	Q8304
李家诚	Q8305
李家（辽宁师范大学城市与环境学院副教授）	Q8306
李密（西晋初年官员）	Q8307
李密（隋唐时期群雄之一）	Q8308
李尧林	Q8309
李希烈	Q8310
李廷机	Q8311
李强（中央政治局委员，上海市委书记）	Q8312
李彩琳	Q8313
李德裕	Q8314
李德（共产国际派驻中国的军事顾问）	Q8315
李忱（唐朝第十六位皇帝）	Q8316
李怀仙	Q8317
李思齐（元末行中书省平章政事）	Q8318
李悝	Q8319
李悝变法	Q8320
李成梁	Q8321
李政道（物理学家）	Q8322
李文亮（山西画院画家）	Q8323
李斯（秦朝丞相）	Q8324
李旦（唐睿宗）	Q8325
李时珍（明朝医药学家）	Q8326
李昌（中共中央纪委原书记，哈工大校长）	Q8327
李显（唐中宗）	Q8328
李晔（唐昭宗）	Q8329
李智恩	Q8330
李杲（金元四大家之一）	Q8331
李林甫	Q8332
李柷	Q8333
李济深	Q8334
李清照（宋代女词人）	Q8335
李渊建立唐朝	Q8336
李渊（唐朝开国皇帝）	Q8337
李漼	Q8338
李瀚章	Q8339
李炎（唐武宗）	Q8340
李烈钧	Q8341
李焕之	Q8342
李特（十六国时期成汉政权奠基人）	Q8343
李琳（内地男歌手）	Q8344
李瑞环	Q8345
李登辉（台湾地区前领导人）	Q8346
李白（唐代著名浪漫主义诗人）	Q8347
李石曾	Q8348
李立三	Q8349
李立国（老青年）	Q8350
李约瑟（英国现代生物化学家、科学技术史专家）	Q8351
李纪堂	Q8352
李纯（唐宪宗）	Q8353
李纲（宋代抗金名臣）	Q8354
李继迁	Q8355
李维（中国好声音第三季学员）	Q8356
李群（安徽省马鞍山市政协主席）	Q8357
李翱	Q8358
李翼（曹魏兖州刺史）	Q8359
李自成（明末农民起义领袖）	Q8360
李诵	Q8361
李豫（唐代宗）	Q8362
李豫（唐朝皇帝唐代宗）	Q8363
李豫（电视剧《大唐荣耀》男主角）	Q8364
李轨	Q8365
李辅国	Q8366
李达三（民族工商业家）	Q8367
李达康	Q8368
李达（中国人民解放军上将）	Q8369
李适（唐朝第九位皇帝）	Q8370
李逸（小说《网游之射破苍穹》主角）	Q8371
李隆基（唐玄宗）	Q8372
李靖（隋末唐初军事家）	Q8373
李鸣（陕西籍演员）	Q8374
李鸿章（晚清名臣）	Q8375
李鹏（2011年感动中原十大年度人物、抗洪抢险勇士）	Q8376
李鹏（国务院原总理）	Q8377
杏花楼（上海著名饮食集团）	Q8378
材料化学（化学）	Q8379
材料科学（应用科学领域）	Q8380
材质	Q8381
村卫生室	Q8382
村庄：阿雉阿拉的秘密	Q8383
村田省藏	Q8384
杜伏威	Q8385
杜佑	Q8386
杜尔伯特蒙古族自治县	Q8387
杜康（酒圣）	Q8388
杜甫故里（诗人杜甫故里）	Q8389
杜者蘅	Q8390
杜鹃林	Q8391
杜鹃（新丝路模特大赛冠军、演员）	Q8392
杜鹃（杜鹃花科植物）	Q8393
杠杆原理（物理学力学定理）	Q8394
杠杆平衡	Q8395
杠杆（简单机械）	Q8396
来安县	Q8397
来源（中国内地女演员）	Q8398
杨侑	Q8399
杨凯莉	Q8400
杨利伟	Q8401
杨国忠（唐代宰相）	Q8402
杨坚（隋朝开国皇帝）	Q8403
杨士奇	Q8404
杨宜（明嘉靖年间官吏）	Q8405
杨希闵（民国滇军将领）	Q8406
杨广（隋朝第二位皇帝）	Q8407
杨度	Q8408
杨庶堪	Q8409
杨廷和	Q8410
杨德昌（台湾著名导演）	Q8411
杨心如	Q8412
杨振华（相声艺人）	Q8413
杨文（军旅作家）	Q8414
杨旭文	Q8415
杨明斋	Q8416
杨春茂	Q8417
杨梅汁	Q8418
杨泉（八珠乡党委副书记、政府乡长）	Q8419
杨洋（中国内地男演员）	Q8420
杨浦区	Q8421
杨溥（明代著名政治家、内阁首辅）	Q8422
杨炎（唐德宗时宰相）	Q8423
杨玉环（唐玄宗宠妃）	Q8424
杨耀（画家、山东工艺美术学院教授）	Q8425
杨胜（福建三明市梅列区委书记）	Q8426
杨荣（明朝著名政治家、文学家，内阁首辅）	Q8427
杨衢云	Q8428
杨贤	Q8429
杨镐	Q8430
杨鹤龄（革命志士、孙中山总统府原顾问）	Q8431
杭州湾（海湾）	Q8432
杭州（浙江省省会）	Q8433
杭爱山	Q8434
杭瑞高速公路	Q8435
杭黄高速铁路	Q8436
杰伊	Q8437
杰夫·拉斯金	Q8438
杰弗雷·乔叟	Q8439
杰罗姆·布鲁纳	Q8440
松下（日本著名电子产品制造商）	Q8441
松嫩平原	Q8442
松子（植物种子）	Q8443
松柏	Q8444
松江区	Q8445
松江府	Q8446
松江画派	Q8447
松涛水库	Q8448
松花江（黑龙江在中国境内的最大支流）	Q8449
松赞干布（吐蕃王朝第33任赞普）	Q8450
松香坪	Q8451
板块构造学说	Q8452
板块碰撞	Q8453
板野友美	Q8454
极光（自然现象）	Q8455
极地气候	Q8456
极客	Q8457
极差	Q8458
极权主义	Q8459
极深地下实验室	Q8460
极端主义	Q8461
极端民族主义	Q8462
极锋	Q8463
极限特工	Q8464
构建社会主义和谐社会	Q8465
构造主义	Q8466
构造单元	Q8467
构造期	Q8468
析津府	Q8469
林下经济	Q8470
林业基地	Q8471
林业（保护生态环境保持生态平衡）	Q8472
林则徐（清朝道光时期大臣、民族英雄）	Q8473
林口台地	Q8474
林地（成片的天然林、次生林和人工林覆盖的土地）	Q8475
林学	Q8476
林彪	Q8477
林怀民	Q8478
林振发	Q8479
林昭亮	Q8480
林更新	Q8481
林森（福州市摄影协会副主席）	Q8482
林氏（汉语姓氏）	Q8483
林海（中国农业大学经济管理学院讲师）	Q8484
林爽文	Q8485
林爽文事件	Q8486
林纳斯·托瓦兹	Q8487
林辉山	Q8488
林述庆	Q8489
林青霞（中国台湾女演员）	Q8490
林麝	Q8491
果基鱼塘	Q8492
果壳网	Q8493
果糖	Q8494
果酒	Q8495
果阿邦	Q8496
枝城长江大桥	Q8497
枝江	Q8498
枢纽机场	Q8499
枪乌贼（动物）	Q8500
枪杆子里面出政权	Q8501
枪（热兵器火枪）	Q8502
架构（计算机术语）	Q8503
架空层	Q8504
柏拉图主义	Q8505
柏拉图学院	Q8506
柏拉图（古希腊哲学家）	Q8507
柏文蔚	Q8508
柏林洪堡大学	Q8509
柏林爱乐乐团	Q8510
柏林禅寺	Q8511
柏林（德国首都）	Q8512
染色体（细胞核的组成部分）	Q8513
柔然	Q8514
柔美（品牌商标）	Q8515
柠檬市场	Q8516
查侬·散顶腾古	Q8517
查士丁尼一世	Q8518
查尔斯·巴贝奇（英国发明家、电脑先驱）	Q8519
查尔斯·斯科特·谢灵顿	Q8520
查尔斯·桑德斯·皮尔士	Q8521
查尔斯·罗伯特·达尔文（英国生物学家、进化论的奠基人）	Q8522
查尔斯·霍顿·库利	Q8523
查理·路易·孟德斯鸠	Q8524
柬埔寨	Q8525
柯伊伯带	Q8526
柯尔克孜族	Q8527
柯文哲	Q8528
柯本气候分类法	Q8529
柯林·武德	Q8530
柯洁	Q8531
柯西	Q8532
柳州	Q8533
柳得恭	Q8534
柳树	Q8535
柳江人	Q8536
柳生十兵卫（日本封建时代有名的剑客）	Q8537
柳诒徵	Q8538
柴油发动机	Q8539
柴荣	Q8540
柴达木盆地	Q8541
标准模型	Q8542
标准行业分类法	Q8543
标准通用置标语言	Q8544
标准音	Q8545
标杆	Q8546
标记语言	Q8547
标金	Q8548
树脂	Q8549
校准	Q8550
校园（词语概念）	Q8551
样式（样式的含义）	Q8552
核反应堆	Q8553
核合成	Q8554
核国家	Q8555
核心利益	Q8556
核战争	Q8557
核桃（胡桃科植物）	Q8558
核球	Q8559
核电厂	Q8560
核磁共振仪	Q8561
核磁共振（物理现象结构分析手段）	Q8562
核糖体	Q8563
核糖核酸	Q8564
核素	Q8565
核聚变	Q8566
核能	Q8567
核能发电	Q8568
核裂变	Q8569
核销	Q8570
根纳季·安德列耶维奇·久加诺夫	Q8571
格但斯克	Q8572
格兰特·希尔	Q8573
格劳秀斯	Q8574
格奥尔吉·康斯坦丁诺维奇·朱可夫	Q8575
格奥尔格·威廉·弗里德里希·黑格尔	Q8576
格奥尔格·齐美尔	Q8577
格廷根大学	Q8578
格式化（计算机术语）	Q8579
格式塔心理学	Q8580
格拉姆	Q8581
格桑嘉措	Q8582
格物学	Q8583
格物致知	Q8584
格莱美奖	Q8585
格萨尔王传（画作名称）	Q8586
格萨尔王史诗	Q8587
格里哥里·叶夫谢也维奇·季诺维也夫	Q8588
格里戈里·佩雷尔曼	Q8589
格陵兰岛（丹麦属地、世界最大岛屿）	Q8590
格雷·佛尔帕斯塔	Q8591
格鲁派	Q8592
桂军（民国时期广西实力派所辖军队的习称）	Q8593
桂林山水（桂林旅游资源总称）	Q8594
桂林洋	Q8595
桂林郡	Q8596
桂林（广西壮族自治区下辖市）	Q8597
桂王	Q8598
桂系	Q8599
桃园台地	Q8600
桃园捷运	Q8601
桃园（中国台湾桃园市）	Q8602
桃园（中国台湾省桃园市）	Q8603
桃李杯	Q8604
框架（建筑学概念）	Q8605
案头戏	Q8606
桌上游戏	Q8607
桌上角色扮演游戏	Q8608
桌旗	Q8609
桌面出版	Q8610
桌面操作系统	Q8611
桌面环境	Q8612
桐城	Q8613
桐宫	Q8614
桐庐县	Q8615
桐油（工业原料）	Q8616
桑基鱼塘	Q8617
桑结嘉措	Q8618
桑葚	Q8619
桓帝	Q8620
桓温	Q8621
桓玄	Q8622
档案存取	Q8623
桥接	Q8624
桥接器	Q8625
梁书（二十四史之一）	Q8626
梁冀	Q8627
梁妠	Q8628
梁实秋（中国近代著名文学家）	Q8629
梁山伯与祝英台（芭蕾舞剧《梁山伯与祝英台》）	Q8630
梁山县（山东省济宁市下辖县）	Q8631
梁州	Q8632
梁师都	Q8633
梁帝（琅琊榜中人物）	Q8634
梁思成	Q8635
梁思永	Q8636
梁桥（中国古代最早出现的桥梁）	Q8637
梁洛仁	Q8638
梁王（古代王爵称号）	Q8639
梁用	Q8640
梁田（湖南卫视主持人）	Q8641
梁皇后（西夏毅宗皇后）	Q8642
梁红玉（南宋抗金女英雄）	Q8643
梁育刚	Q8644
梅兰妮·克莱茵	Q8645
梅兰芳（中国京剧表演艺术家）	Q8646
梅县区	Q8647
梅县话	Q8648
梅含理	Q8649
梅因	Q8650
梅州（广东省地级市）	Q8651
梅林（亚瑟王传说的伟大魔法师）	Q8652
梅江区	Q8653
梅河口	Q8654
梅特兰（澳大利亚新南威尔士州东部城市）	Q8655
梅花桩	Q8656
梅西叶星表	Q8657
梅里斯达斡尔族区	Q8658
梅雨（持续天阴有雨的气候现象）	Q8659
梓材	Q8660
梦工厂（美国电影工作室）	Q8661
梦溪笔谈	Q8662
梦的解析（弗洛伊德著心理学理论）	Q8663
梧州	Q8664
梳打饼	Q8665
梵净山冷杉	Q8666
梵净山（贵州省铜仁市梵净山）	Q8667
梵剧	Q8668
梵天净土	Q8669
梵蒂冈（梵蒂冈城国）	Q8670
检察官（依法行使国家检察权的检察人员）	Q8671
检察机关	Q8672
棉兰老岛	Q8673
棉花屿	Q8674
棉花（锦葵科棉属植物）	Q8675
棋王（阿城著短篇小说）	Q8676
棒旋星系	Q8677
棒棒糖（网站）	Q8678
棒球场	Q8679
棒球（体育运动）	Q8680
棕壤	Q8681
棕头鸥	Q8682
棘手（2006年约翰·波尔森拍摄电影）	Q8683
棚户区	Q8684
棠樾牌坊群	Q8685
森林生态系统	Q8686
森林覆盖率	Q8687
森林面积	Q8688
植树节	Q8689
植树造林	Q8690
植物分类学	Q8691
植物叶蛋白	Q8692
植物地理学	Q8693
植物学（生物学的分支学科）	Q8694
植物形态学	Q8695
植物志	Q8696
植物生理学（植物学术语）	Q8697
植物界	Q8698
植物种群	Q8699
植物细胞	Q8700
植物群	Q8701
植物资源	Q8702
植物（有叶绿素和细胞壁能够进行自养的真核生物）	Q8703
椭圆星系	Q8704
楚勇	Q8705
楚国（先秦诸侯国）	Q8706
楚国（周朝时期诸侯国）	Q8707
楚威王	Q8708
楚平王	Q8709
楚庄王	Q8710
楚庭	Q8711
楚成王	Q8712
楚望台	Q8713
楚汉之争（历史事件）	Q8714
楚辞（中国首部浪漫主义诗歌总集）	Q8715
楞伽经	Q8716
楼高	Q8717
概念专辑	Q8718
概念设计	Q8719
概率	Q8720
概率论（数学分支）	Q8721
榕江县	Q8722
榜单	Q8723
榫接	Q8724
槟榔山	Q8725
樊哙（西汉开国元勋，大将军，左丞相）	Q8726
樊钟秀（民国国民党军人）	Q8727
模型论	Q8728
模式植物	Q8729
模式生物	Q8730
模式识别	Q8731
模式转换	Q8732
模拟实验	Q8733
模拟计算机	Q8734
模组	Q8735
横山区	Q8736
横断山脉（中国最长、最宽和最典型的南北向山系）	Q8737
横滨	Q8738
横滨正金银行	Q8739
樱花钩吻鲑	Q8740
橄榄球	Q8741
橡树行动	Q8742
檀台	Q8743
欠发达地区	Q8744
次声波武器	Q8745
次贷危机	Q8746
次郎（日本漫画《美食的俘虏》中人物）	Q8747
欢乐颂（贝多芬作品）	Q8748
欧亚大陆板块	Q8749
欧亚板块	Q8750
欧亚草原	Q8751
欧元	Q8752
欧几里得几何	Q8753
欧拉函数	Q8754
欧拉羊	Q8755
欧洲	Q8756
欧洲一体化	Q8757
欧洲人（人种）	Q8758
欧洲人（网络用语）	Q8759
欧洲共同体	Q8760
欧洲历史（欧洲的历史）	Q8761
欧洲哲学	Q8762
欧洲大陆（地理学名词）	Q8763
欧洲核子研究组织	Q8764
欧洲联盟条约	Q8765
欧洲联盟（欧洲经济、政治共同体）	Q8766
欧洲足球锦标赛	Q8767
欧洲音乐	Q8768
欧洲（地球七大洲之一）	Q8769
欧玛尔·海亚姆	Q8770
欧米茄（国际著名企业）	Q8771
欧美国家	Q8772
欧美地区	Q8773
欧联卫浴	Q8774
欧舒适	Q8775
欧里庇得斯	Q8776
欧阳予倩（著名戏剧艺术家）	Q8777
欧阳修（北宋名臣）	Q8778
欧阳姓	Q8779
欧陆哲学	Q8780
歌剧（音乐的戏剧）	Q8781
歌唱祖国（歌曲）	Q8782
歌声（朱自清诗歌）	Q8783
歌德（美国耳机品牌）	Q8784
歌手（湖南卫视音乐竞技节目）	Q8785
歌手（职业名称）	Q8786
歌曲	Q8787
歌舞伎	Q8788
歌词（声乐作品中的词句）	Q8789
歌谱	Q8790
歙县	Q8791
正一教	Q8792
正一派	Q8793
正向心理学	Q8794
正定县	Q8795
正常物品	Q8796
正式场合	Q8797
正念减压	Q8798
正念（词语解释）	Q8799
正整数	Q8800
正月初六	Q8801
正电子发射计算机断层扫描	Q8802
正规教育	Q8803
正骨（中医骨科诊疗）	Q8804
武丁	Q8805
武九铁路	Q8806
武侠片	Q8807
武关	Q8808
武则天（中国武周时期女皇帝）	Q8809
武周（中国历史朝代）	Q8810
武器（词语释义）	Q8811
武夷山脉	Q8812
武夷山（世界文化与自然双重遗产，国家5a级旅游景区）	Q8813
武夷山（福建省武夷山市）	Q8814
武威（中华人民共和国甘肃省省辖市）	Q8815
武帝（古代谥号）	Q8816
武庚叛乱	Q8817
武庚（中国历史人物）	Q8818
武强年画	Q8819
武当山（湖北省十堰市武当山）	Q8820
武德七年	Q8821
武成（古代帝王年号）	Q8822
武昌区	Q8823
武昌市	Q8824
武昌府	Q8825
武昌起义	Q8826
武汉东湖新技术产业开发区	Q8827
武汉二七长江大桥	Q8828
武汉会战（抗日战争时期一场大规模战役）	Q8829
武汉军山长江大桥	Q8830
武汉国民政府	Q8831
武汉城市圈	Q8832
武汉外国语学校	Q8833
武汉大学	Q8834
武汉天兴洲长江大桥	Q8835
武汉天河国际机场	Q8836
武汉杨泗港长江大桥	Q8837
武汉轨道交通	Q8838
武汉钢铁（集团）公司	Q8839
武汉长江二桥	Q8840
武汉长江大桥	Q8841
武汉阳逻长江大桥	Q8842
武汉鹦鹉洲长江大桥	Q8843
武汉（湖北省省会）	Q8844
武经七书	Q8845
武艺（攻防格斗技术）	Q8846
武陵山	Q8847
武麻铁路	Q8848
歧路灯	Q8849
死亡人数	Q8850
死刑制度	Q8851
死刑立即执行	Q8852
死锁	Q8853
残疾儿童	Q8854
殖民地（地理学名词）	Q8855
殖民帝国	Q8856
殡仪馆	Q8857
段位	Q8858
段宜恩	Q8859
段祺瑞（皖系军阀首领）	Q8860
殷人	Q8861
殷墟（世界文化遗产、5a级景区、河南安阳殷墟）	Q8862
殷汝耕	Q8863
毋敛	Q8864
母亲（阿斯杜里亚斯创作现代诗歌）	Q8865
母系氏族	Q8866
母系氏族社会	Q8867
每日新闻（日本《每日新闻》）	Q8868
毒奶粉	Q8869
比丘	Q8870
比亚迪股份有限公司	Q8871
比例尺	Q8872
比例（数学术语）	Q8873
比利时	Q8874
比利时工人党	Q8875
比利时布鲁塞尔	Q8876
比吉斯	Q8877
比尔·盖茨（美国微软公司联合创始人）	Q8878
比尔·默里	Q8879
比率	Q8880
比萨拉比亚	Q8881
比表面积	Q8882
比较利益	Q8883
比较心理学	Q8884
比降	Q8885
比鲁尼	Q8886
毕业典礼（微电影）	Q8887
毕业歌（2014年曹盾执导电视剧）	Q8888
毕业证书	Q8889
毕永年	Q8890
毕节	Q8891
毕节飞雄机场	Q8892
毕达哥拉斯	Q8893
毕达哥拉斯学派	Q8894
毗湿奴（印度教主神）	Q8895
毗连区	Q8896
毛伊岛	Q8897
毛儿盖	Q8898
毛入学率	Q8899
毛利人	Q8900
毛泽东军事思想	Q8901
毛泽东思想	Q8902
毛泽东选集	Q8903
毛泽东（中共中央文献研究室、新华通讯社编辑图书）	Q8904
毛泽东（全民所著图书）	Q8905
毛泽东（无产阶级革命家）	Q8906
毛笔	Q8907
毛远新	Q8908
毛阿敏	Q8909
氏族制度	Q8910
氏族（原始社会中人类社会群体）	Q8911
民主主义	Q8912
民主主义革命	Q8913
民主共和制	Q8914
民主共和国	Q8915
民主制度	Q8916
民主宪政	Q8917
民主指数	Q8918
民主进步党	Q8919
民主选举（词意）	Q8920
民主集中制	Q8921
民俗文化	Q8922
民办非企业单位	Q8923
民劳	Q8924
民国党	Q8925
民居建筑	Q8926
民工（外来务工人员）	Q8927
民意调查	Q8928
民报	Q8929
民政长官	Q8930
民族主义（意识形态运动）	Q8931
民族乐器	Q8932
民族乡	Q8933
民族传统	Q8934
民族区域自治制度	Q8935
民族医学	Q8936
民族压迫	Q8937
民族团结	Q8938
民族国家	Q8939
民族志（写作文本）	Q8940
民族意识	Q8941
民族服装	Q8942
民族服饰	Q8943
民族村（楚雄州禄丰县金山镇下辖村）	Q8944
民族构成	Q8945
民族精神（基础含义）	Q8946
民族统一主义	Q8947
民族英雄	Q8948
民族融合	Q8949
民族识别	Q8950
民族语言	Q8951
民族资产阶级	Q8952
民族问题	Q8953
民族音乐	Q8954
民族音乐学	Q8955
民族风情	Q8956
民族（中国国家民族事务委员会主办的综合性刊物）	Q8957
民族（经长期历史发展而形成的稳定共同体）	Q8958
民权县	Q8959
民治街道	Q8960
民生主义	Q8961
民用机场	Q8962
民用航空运输	Q8963
民粹主义	Q8964
民营企业	Q8965
民谣	Q8966
民谣（名词）	Q8967
民谣（赵雷所演唱歌曲）	Q8968
民间企业	Q8969
民间传说	Q8970
民间信仰（民众中自发产生的一套神灵崇拜观念）	Q8971
民间说唱	Q8972
民间音乐（有民族性和地域性的音乐）	Q8973
气候	Q8974
气候变化（气候平均状态随时间的变化）	Q8975
气压	Q8976
气压梯度	Q8977
气喘病	Q8978
气态巨行星	Q8979
气温年较差	Q8980
气血津液	Q8981
氢弹	Q8982
氢氧根离子	Q8983
氢离子	Q8984
氢离子浓度指数	Q8985
氢键	Q8986
氦气	Q8987
氧化剂（常规具有氧化作用的化学用品）	Q8988
氧化性	Q8989
氧化数	Q8990
氧化还原	Q8991
氧化铝	Q8992
氧气（氧元素形成的一种单质）	Q8993
氯化钠	Q8994
氯离子	Q8995
水上石林	Q8996
水上运输	Q8997
水下导弹发射平台	Q8998
水东镇（广东省茂名市电白区中心镇）	Q8999
水产	Q9000
水产养殖（理想网箱系统设计的基本原则）	Q9001
水产品	Q9002
水体	Q9003
水军（海军前称）	Q9004
水分子	Q9005
水力（教师、演说人）	Q9006
水千丞	Q9007
水口河	Q9008
水合氢离子	Q9009
水土流失（自然灾害）	Q9010
水墨画（中国画）	Q9011
水家湖站	Q9012
水平衡	Q9013
水平运动	Q9014
水循环	Q9015
水族（中国少数民族之一）	Q9016
水星（太阳系的八大行星之一）	Q9017
水权	Q9018
水杉	Q9019
水柏铁路	Q9020
水波纹	Q9021
水浒传（中国古典四大名著之一）	Q9022
水獭（水獭）	Q9023
水生生物	Q9024
水电费	Q9025
水磨沟区	Q9026
水秀	Q9027
水稻	Q9028
水箱	Q9029
水线	Q9030
水经注（水经注）	Q9031
水能资源	Q9032
水能资源蕴藏量	Q9033
水藻	Q9034
水西土司	Q9035
水调歌头（词牌名）	Q9036
水貂	Q9037
水质	Q9038
水资源	Q9039
水资源总量	Q9040
水资源短缺	Q9041
水路运输	Q9042
永丰舰	Q9043
永久中立国	Q9044
永久（品牌）	Q9045
永乐大典	Q9046
永乐盛世	Q9047
永乐迁都	Q9048
永元（东汉和帝刘肇年号）	Q9049
永兴岛	Q9050
永历（明昭宗朱由榔年号）	Q9051
永嘉之乱	Q9052
永嘉（帝王年号）	Q9053
永城（河南省商丘市下辖县级市）	Q9054
永宁州（广西、贵州永宁州）	Q9055
永定区（福建省龙岩市下辖区）	Q9056
永年区	Q9057
永康（金华市县级市）	Q9058
永徽律	Q9059
永恒战争	Q9060
永明之治	Q9061
永春州	Q9062
永暑礁	Q9063
永泰青云山风景名胜区	Q9064
永济渠	Q9065
永熙（西晋惠帝司马衷的年号）	Q9066
永爱	Q9067
永生（梦入神机创作玄幻小说）	Q9068
永登县	Q9069
永续发展	Q9070
汀州	Q9071
汇丰银行	Q9072
汇编语言（面向机器的程序设计语言）	Q9073
汉中王	Q9074
汉丹铁路	Q9075
汉书	Q9076
汉书·艺文志	Q9077
汉代铜奔马	Q9078
汉传佛教	Q9079
汉刘邦	Q9080
汉十高速铁路	Q9081
汉口俄租界	Q9082
汉口德租界	Q9083
汉口日租界	Q9084
汉口法租界	Q9085
汉口英租界	Q9086
汉口镇	Q9087
汉口（武汉市重要组成部分，武汉三镇之一）	Q9088
汉堡（德国北部城市）	Q9089
汉字文化圈	Q9090
汉室宗亲	Q9091
汉密尔顿（加拿大安大略省重工业城市）	Q9092
汉文化	Q9093
汉斯·艾森克	Q9094
汉斯（金星现任丈夫）	Q9095
汉族	Q9096
汉族人口	Q9097
汉族地区佛教全国重点寺院	Q9098
汉族文化	Q9099
汉族神话	Q9100
汉昭帝	Q9101
汉服	Q9102
汉朝	Q9103
汉朝君主	Q9104
汉武盛世	Q9105
汉藏语系	Q9106
汉语	Q9107
汉赋	Q9108
汉阳兵工厂	Q9109
汉阳铁厂	Q9110
汕头	Q9111
汕头大学	Q9112
汕尾	Q9113
汗血宝马（阿哈尔捷金马的别称）	Q9114
汝河（淮河支流洪河的重要支流）	Q9115
江东新区	Q9116
江东（古代地域名称）	Q9117
江充（西汉武帝朝绣衣使者、水衡都尉）	Q9118
江华（宁远县委副书记、县长）	Q9119
江华（香港艺人）	Q9120
江南丝竹（中国传统器乐丝竹乐）	Q9121
江南机器制造总局	Q9122
江南省	Q9123
江南造船厂	Q9124
江南（中国内地男演员）	Q9125
江南（北京美术家协会会员）	Q9126
江南（南京师范大学教授）	Q9127
江南（名号用词）	Q9128
江南（地理区域概念）	Q9129
江南（小说作家）	Q9130
江南（汉乐府诗）	Q9131
江南（青简创作主题随笔集）	Q9132
江口拓也	Q9133
江宁区	Q9134
江宁府（南京古称）	Q9135
江安县	Q9136
江户	Q9137
江户幕府	Q9138
江户时代	Q9139
江明洋	Q9140
江格尔（蒙古族英雄史诗）	Q9141
江汉地区	Q9142
江汉城址群	Q9143
江泽民	Q9144
江浙	Q9145
